county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
苗栗縣,衛生福利部苗栗醫院,https://www.mil.mohw.gov.tw/,037-261920#1265,苗栗縣苗栗市為公路747號,https://www.google.com.tw/maps/place/苗栗縣苗栗市為公路747號,無,6,6,6,0,18,2026/01/05,false,true
苗栗縣,我時心理諮商所,https://ourtime.com.tw/,037-620780,苗栗縣竹南鎮佳興里環市路三段580號1F,https://www.google.com.tw/maps/place/苗栗縣竹南鎮佳興里環市路三段580號1F,無,12,12,12,0,36,2026/01/05,false,true
苗栗縣,逍遙心理諮商所,https://counseling.xiaoyaoxinli.com/,03-5729385,苗栗縣頭份市斗煥里11鄰群英路85巷1號,https://www.google.com.tw/maps/place/苗栗縣頭份市斗煥里11鄰群英路85巷1號,無,0,0,2,0,2,2026/01/05,true,true
苗栗縣,為恭醫療財團法人為恭紀念醫院,https://www.weigong.org.tw/,037-676811#53370,苗栗縣頭份市信義路128號,https://www.google.com.tw/maps/place/苗栗縣頭份市信義路128號,掛號費(依院方規定),10,10,10,0,30,2026/01/05,false,true
苗栗縣,謐境心理治療所,https://www.facebook.com/profile.php?id=61558298624935&paipv=0&eav=AfYaRFe0LdFCfgFqhMNkU_SQcnp7qAizuIpZUOPELIkGnz2dBH9kv04wymvntSsgnZM,037-377567,苗栗縣苗栗市中山路398號1樓,https://www.google.com.tw/maps/place/苗栗縣苗栗市中山路398號1樓,無,0,0,0,0,0,2026/01/10,false,false
苗栗縣,度情心理諮商所,https://du-ching.mystrikingly.com/,037-728869,苗栗縣後龍鎮新東路426號,https://www.google.com.tw/maps/place/苗栗縣後龍鎮新東路426號,無,0,0,0,0,0,2026/01/02,true,false
苗栗縣,小巷子心理治療所,https://www.facebook.com/profile.php?id=61564986991056,037-598590,苗栗縣頭份市長安街45之1號1樓,https://www.google.com.tw/maps/place/苗栗縣頭份市長安街45之1號1樓,行政費200元,0,0,0,0,0,2026/01/02,false,false
