county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
雲林縣,天主教若瑟醫療財團法人若瑟醫院,https://www.stjoho.org.tw/www2012/,05-6337333,雲林縣虎尾鎮新生路74號,https://www.google.com.tw/maps/place/雲林縣虎尾鎮新生路74號,掛號費150元,3,3,3,0,9,2026/01/08,false,true
雲林縣,晴明身心診所,https://www.facebook.com/profile.php?id=100063481676749,05-5330567,雲林縣斗六市大同路183號,https://www.google.com.tw/maps/place/雲林縣斗六市大同路183號,掛號費200元,4,4,4,0,12,2026/01/08,false,true
雲林縣,廖寶全診所,https://www.facebook.com/safemind2020,05-6322584,雲林縣虎尾鎮東明路182號,https://www.google.com.tw/maps/place/雲林縣虎尾鎮東明路182號,無,6,6,6,0,18,2026/01/09,true,true
雲林縣,雲晴心理諮商所,https://yunching0108.blogspot.com/,0921523828,雲林縣虎尾鎮光復路315巷7號,https://www.google.com.tw/maps/place/雲林縣虎尾鎮光復路315巷7號,無,5,5,5,0,15,2026/01/08,true,true
雲林縣,綠水心理諮商所,,0958137607,雲林縣虎尾鎮林森路一段416巷15號2樓,https://www.google.com.tw/maps/place/雲林縣虎尾鎮林森路一段416巷15號2樓,行政處理費200元,20,20,20,0,60,2026/01/08,true,true
雲林縣,穗訸心理治療所,https://www.facebook.com/profile.php?id=100071396570518,0936762822,雲林縣斗六市建成路59巷11號1樓,https://www.google.com.tw/maps/place/雲林縣斗六市建成路59巷11號1樓,行政費500元,10,10,10,0,30,2026/01/07,false,true
雲林縣,又見花開心理諮商所,https://www.facebook.com/profile.php?id=61571898251312,05-5362708,雲林縣斗六市明德北路一段177號,https://www.google.com.tw/maps/place/雲林縣斗六市明德北路一段177號,0,9,9,9,0,27,2026/01/10,false,true
雲林縣,信安醫療社團法人信安醫院,http://www.hsinan.com.tw/,05-5223788,雲林縣斗六市瓦厝路159號,https://www.google.com.tw/maps/place/雲林縣斗六市瓦厝路159號,無,0,0,0,0,0,2026/01/07,true,false
雲林縣,何正岳診所,,05-5328680,雲林縣斗六市鎮西里建成路115號,https://www.google.com.tw/maps/place/雲林縣斗六市鎮西里建成路115號,0,0,0,0,0,0,2026/01/07,false,false
